paper_id,model_version,prompt_version,input_source,manual_label,predicted_label,raw_output,elapsed_sec,error,is_fewshot_example,run_timestamp
0,llama3.1:8b,V1,abstract,DL,DL,DL,0.86,,False,2026-08-15T09:00:11
1,llama3.1:8b,V1,abstract,ML,AI,AI,0.71,,False,2026-08-15T09:00:12
2,llama3.1:8b,V1,abstract,DL,DL,DL,0.72,,False,2026-08-15T09:00:13
3,llama3.1:8b,V1,abstract,AI,AI,AI,0.89,,False,2026-08-15T09:00:14
4,llama3.1:8b,V1,abstract,DL,DL,DL,0.98,,False,2026-08-15T09:00:15
5,llama3.1:8b,V1,abstract,ML,ML,ML,0.9,,False,2026-08-15T09:00:16
6,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.8,,False,2026-08-15T09:00:16
7,llama3.1:8b,V1,abstract,ML,AI,AI,0.66,,False,2026-08-15T09:00:17
8,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.76,,False,2026-08-15T09:00:18
9,llama3.1:8b,V1,abstract,ML,ML,ML,1.0,,False,2026-08-15T09:00:19
10,llama3.1:8b,V1,abstract,Unclear,ML,ML,1.13,,False,2026-08-15T09:00:20
11,llama3.1:8b,V1,abstract,DL,ML,ML,1.28,,False,2026-08-15T09:00:21
12,llama3.1:8b,V1,abstract,ML,ML,ML,1.38,,False,2026-08-15T09:00:23
13,llama3.1:8b,V1,abstract,ML,ML,ML,0.74,,False,2026-08-15T09:00:23
14,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.69,,False,2026-08-15T09:00:24
15,llama3.1:8b,V1,abstract,Unclear,DL,DL,0.77,,False,2026-08-15T09:00:25
16,llama3.1:8b,V1,abstract,ML,ML,ML,0.91,,False,2026-08-15T09:00:26
17,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.94,,False,2026-08-15T09:00:27
18,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.88,,False,2026-08-15T09:00:28
19,llama3.1:8b,V1,abstract,AI,AI,AI,0.86,,False,2026-08-15T09:00:28
20,llama3.1:8b,V1,abstract,ML,ML,ML,0.85,,False,2026-08-15T09:00:29
21,llama3.1:8b,V1,abstract,DL,AI,AI,0.93,,False,2026-08-15T09:00:30
22,llama3.1:8b,V1,abstract,AI,None,None,0.81,,False,2026-08-15T09:00:31
23,llama3.1:8b,V1,abstract,DL,ML,ML,0.78,,False,2026-08-15T09:00:32
24,llama3.1:8b,V1,abstract,ML,ML,ML,0.96,,False,2026-08-15T09:00:33
25,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.4,,False,2026-08-15T09:00:34
26,llama3.1:8b,V1,abstract,AI,AI,AI,1.36,,False,2026-08-15T09:00:35
27,llama3.1:8b,V1,abstract,ML,ML,ML,1.27,,False,2026-08-15T09:00:37
28,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.87,,False,2026-08-15T09:00:38
29,llama3.1:8b,V1,abstract,ML,ML,ML,0.8,,False,2026-08-15T09:00:38
30,llama3.1:8b,V1,abstract,AI,AI,AI,0.82,,False,2026-08-15T09:00:39
31,llama3.1:8b,V1,abstract,Unclear,DL,DL,0.98,,False,2026-08-15T09:00:40
32,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.75,,False,2026-08-15T09:00:41
33,llama3.1:8b,V1,abstract,Unclear,AI,AI,0.86,,False,2026-08-15T09:00:42
34,llama3.1:8b,V1,abstract,DL,DL,DL,0.96,,False,2026-08-15T09:00:43
35,llama3.1:8b,V1,abstract,ML,ML,ML,0.78,,False,2026-08-15T09:00:44
36,llama3.1:8b,V1,abstract,DL,ML,ML,0.93,,False,2026-08-15T09:00:45
37,llama3.1:8b,V1,abstract,Unclear,ML,ML,0.95,,False,2026-08-15T09:00:45
38,llama3.1:8b,V1,abstract,DL,ML,ML,0.9,,False,2026-08-15T09:00:46
39,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.27,,False,2026-08-15T09:00:48
40,llama3.1:8b,V1,abstract,ML,ML,ML,1.21,,False,2026-08-15T09:00:49
41,llama3.1:8b,V1,abstract,ML,ML,ML,1.3,,False,2026-08-15T09:00:50
42,llama3.1:8b,V1,abstract,ML,ML,ML,1.12,,False,2026-08-15T09:00:51
43,llama3.1:8b,V1,abstract,Unclear,AI,AI,1.07,,False,2026-08-15T09:00:52
44,llama3.1:8b,V1,abstract,ML,ML,ML,0.83,,False,2026-08-15T09:00:53
45,llama3.1:8b,V1,abstract,DL,DL,DL,0.82,,False,2026-08-15T09:00:54
46,llama3.1:8b,V1,abstract,ML,ML,ML,0.9,,False,2026-08-15T09:00:55
47,llama3.1:8b,V1,abstract,AI,AI,AI,1.04,,False,2026-08-15T09:00:56
48,llama3.1:8b,V1,abstract,ML,ML,ML,0.92,,False,2026-08-15T09:00:57
49,llama3.1:8b,V1,abstract,ML,ML,ML,0.71,,False,2026-08-15T09:00:58
