paper_id,model_version,prompt_version,input_source,manual_label,predicted_label,raw_output,elapsed_sec,error,is_fewshot_example,run_timestamp
0,mistral:7b,V1,abstract,DL,DL,DL,25.29,,False,2026-08-15T23:40:28
1,mistral:7b,V1,abstract,ML,DL,DL,0.28,,False,2026-08-15T23:40:28
2,mistral:7b,V1,abstract,DL,DL,DL,0.36,,False,2026-08-15T23:40:29
3,mistral:7b,V1,abstract,AI,ML,ML,0.58,,False,2026-08-15T23:40:29
4,mistral:7b,V1,abstract,DL,DL,DL,0.67,,False,2026-08-15T23:40:30
5,mistral:7b,V1,abstract,ML,ML,ML,0.56,,False,2026-08-15T23:40:31
6,mistral:7b,V1,abstract,Unclear,ML,ML,0.41,,False,2026-08-15T23:40:31
7,mistral:7b,V1,abstract,ML,ML,ML,0.31,,False,2026-08-15T23:40:31
8,mistral:7b,V1,abstract,Unclear,Unclear,Unclear,0.37,,False,2026-08-15T23:40:32
9,mistral:7b,V1,abstract,ML,ML,ML,0.73,,False,2026-08-15T23:40:32
10,mistral:7b,V1,abstract,Unclear,DL,DL,0.44,,False,2026-08-15T23:40:33
11,mistral:7b,V1,abstract,DL,ML,ML,0.59,,False,2026-08-15T23:40:33
12,mistral:7b,V1,abstract,ML,ML,ML,0.59,,False,2026-08-15T23:40:34
13,mistral:7b,V1,abstract,ML,ML,ML,0.33,,False,2026-08-15T23:40:34
14,mistral:7b,V1,abstract,Unclear,ML,ML,0.28,,False,2026-08-15T23:40:35
15,mistral:7b,V1,abstract,Unclear,DL,DL,0.38,,False,2026-08-15T23:40:35
16,mistral:7b,V1,abstract,ML,ML,ML,0.53,,False,2026-08-15T23:40:36
17,mistral:7b,V1,abstract,Unclear,DL,DL,0.59,,False,2026-08-15T23:40:36
18,mistral:7b,V1,abstract,Unclear,ML,ML,0.49,,False,2026-08-15T23:40:37
19,mistral:7b,V1,abstract,AI,DL,DL,0.47,,False,2026-08-15T23:40:37
20,mistral:7b,V1,abstract,ML,ML,ML,0.4,,False,2026-08-15T23:40:38
21,mistral:7b,V1,abstract,DL,DL,DL,0.58,,False,2026-08-15T23:40:38
22,mistral:7b,V1,abstract,AI,ML,ML,0.56,,False,2026-08-15T23:40:39
23,mistral:7b,V1,abstract,DL,DL,DL,0.51,,False,2026-08-15T23:40:39
24,mistral:7b,V1,abstract,ML,ML,ML,0.7,,False,2026-08-15T23:40:40
25,mistral:7b,V1,abstract,Unclear,DL,DL,0.63,,False,2026-08-15T23:40:41
26,mistral:7b,V1,abstract,AI,ML,ML,0.57,,False,2026-08-15T23:40:41
27,mistral:7b,V1,abstract,ML,ML,ML,0.61,,False,2026-08-15T23:40:42
28,mistral:7b,V1,abstract,Unclear,ML,ML,0.56,,False,2026-08-15T23:40:42
29,mistral:7b,V1,abstract,ML,ML,ML,0.54,,False,2026-08-15T23:40:43
30,mistral:7b,V1,abstract,AI,ML,ML,0.45,,False,2026-08-15T23:40:43
31,mistral:7b,V1,abstract,Unclear,DL,DL,0.87,,False,2026-08-15T23:40:44
32,mistral:7b,V1,abstract,Unclear,ML,ML,0.59,,False,2026-08-15T23:40:45
33,mistral:7b,V1,abstract,Unclear,DL,DL,0.77,,False,2026-08-15T23:40:46
34,mistral:7b,V1,abstract,DL,DL,DL,0.83,,False,2026-08-15T23:40:46
35,mistral:7b,V1,abstract,ML,ML,ML,0.62,,False,2026-08-15T23:40:47
36,mistral:7b,V1,abstract,DL,DL,DL,0.54,,False,2026-08-15T23:40:48
37,mistral:7b,V1,abstract,Unclear,ML,ML,0.63,,False,2026-08-15T23:40:48
38,mistral:7b,V1,abstract,DL,DL,DL,0.58,,False,2026-08-15T23:40:49
39,mistral:7b,V1,abstract,Unclear,ML,ML,0.51,,False,2026-08-15T23:40:49
40,mistral:7b,V1,abstract,ML,ML,ML,0.44,,False,2026-08-15T23:40:50
41,mistral:7b,V1,abstract,ML,ML,ML,0.53,,False,2026-08-15T23:40:50
42,mistral:7b,V1,abstract,ML,ML,ML,0.6,,False,2026-08-15T23:40:51
43,mistral:7b,V1,abstract,Unclear,ML,ML,0.72,,False,2026-08-15T23:40:52
44,mistral:7b,V1,abstract,ML,ML,ML,0.49,,False,2026-08-15T23:40:52
45,mistral:7b,V1,abstract,DL,DL,DL,0.48,,False,2026-08-15T23:40:53
46,mistral:7b,V1,abstract,ML,ML,ML,0.61,,False,2026-08-15T23:40:53
47,mistral:7b,V1,abstract,AI,ML,ML,0.72,,False,2026-08-15T23:40:54
48,mistral:7b,V1,abstract,ML,ML,ML,0.68,,False,2026-08-15T23:40:55
49,mistral:7b,V1,abstract,ML,ML,ML,0.42,,False,2026-08-15T23:40:55
50,mistral:7b,V1,abstract,ML,DL,DL,0.4,,False,2026-08-15T23:40:55
51,mistral:7b,V1,abstract,Unclear,ML,ML,12.11,,False,2026-08-15T23:41:08
52,mistral:7b,V1,abstract,DL,ML,ML,0.73,,False,2026-08-15T23:41:08
53,mistral:7b,V1,abstract,Unclear,DL,DL,0.59,,False,2026-08-15T23:41:09
