paper_id,model_version,prompt_version,input_source,manual_label,predicted_label,raw_output,elapsed_sec,error,is_fewshot_example,run_timestamp,repair_status
0,gemma-4-26b-a4b-it,V1,abstract,DL,DL,"*   Abstract: ""We study empirical scaling laws for language model performance on the cross-entropy loss. The loss scales as a power-law with model size, dataset size, and the amount of compute used for training... Other architectural details such as network width or depth have minimal effects... These relationships allow us to determine the optimal allocation of a fixed compute budget...""
    *   Key terms: ""language model"", ""cross-entropy loss"", ""model size"", ""dataset size"", ""compute used for training"", ""network width or depth"", ""training speed"".
    *   Subject matter: Scaling laws for Large Language Models (LLMs).

    *   AI: General AI, symbolic reasoning, expert systems. (Not the primary focus here; this is specifically about deep learning models).
    *   ML: Classical ML (SVMs, trees, clustering). (Language models are deep learning models).
    *   DL: Neural network architectures, transformers, deep reinforcement learning. (Language models are based on neural networks/transformers).
    *   Unclear: Mix of categories/insufficient info. (The contribution is very clearly about the scaling of deep learning models).
    *   None: Not about AI/ML/DL. (This is definitely about AI/ML/DL).

    *   The paper discusses ""language models"", ""cross-entropy loss"", ""model size"", ""network width/depth"". These are core concepts in Deep Learning (DL).
    *   The study of scaling laws for LLMs is a fundamental topic in modern Deep Learning research.

    *   The primary contribution is the empirical study of how deep learning model performance scales.

    *   DL.
DL",8.04,,False,2026-08-09T09:14:46,
1,gemma-4-26b-a4b-it,V1,abstract,ML,ML,"*   Goal: Classify the abstract into one of five categories: AI, ML, DL, Unclear, or None.
    *   Categories:
        *   AI: General AI, symbolic reasoning, expert systems, non-ML/DL.
        *   ML: Classical ML (supervised/unsupervised, trees, SVMs, clustering, feature engineering).
        *   DL: Neural network architectures (CNNs, RNNs, transformers, DRL).
        *   Unclear: Mix of categories, insufficient info.
        *   None: Not about AI/ML/DL.
    *   Constraint: Respond with *only* the category name.

    *   ""The reliability of artificial intelligence hinges on the integrity of its training data..."" (Context)
    *   ""...comparative study of classical and quantum **neural networks** on both classical and quantum data..."" (Core subject: Neural Networks)
    *   ""...classical models exhibit brittle memorization... quantum models demonstrate superior resilience..."" (Comparison of models)
    *   ""...introduce a framework of quantum **machine unlearning**..."" (Contribution)
    *   ""...classical models form rigid, stubborn memories... while the quantum model is significantly more amenable to efficient forgetting..."" (Findings)
    *   ""...quantum machine learning possesses the dual advantage..."" (Conclusion)

    *   The paper compares ""classical and quantum neural networks"".
    *   ""Neural networks"" are the defining characteristic of Deep Learning (DL).
    *   The study focuses on how these neural network architectures respond to noise and how they handle ""unlearning"".
    *   While it mentions ""quantum machine learning"", the core mechanism being studied is the behavior of *neural networks* (classical vs. quantum).

    *   AI: Too broad. The paper is specifically about neural networks.
    *   ML: The paper focuses on neural networks, which",8.89,,False,2026-08-09T09:14:56,
2,gemma-4-26b-a4b-it,V1,abstract,DL,DL,"*   Abstract content: Describes training a large, deep convolutional neural network (CNN) for ImageNet classification. Mentions 60 million parameters, 650,000 neurons, five convolutional layers, max-pooling, fully-connected layers, softmax, non-saturating neurons, GPU implementation, and dropout.
    *   Goal: Classify the primary technical contribution.

    *   AI: General AI, symbolic reasoning, expert systems. (Not the primary focus here; it's specific to deep learning).
    *   ML: Classical ML (SVMs, trees, clustering, etc.). (While CNNs are a subset of ML, the specific architecture described is deep learning).
    *   DL: Neural network architectures (CNNs, RNNs, transformers, etc.). (The abstract explicitly mentions ""deep convolutional neural network"", ""convolutional layers"", ""max-pooling"", ""fully-connected layers"", ""softmax"", and ""dropout"").
    *   Unclear: Mix of categories/insufficient info. (The contribution is very clearly DL).
    *   None: Not about AI/ML/DL. (This is definitely about DL).

    *   The paper describes AlexNet (implied by the details).
    *   The core contribution is a deep convolutional neural network architecture and its training techniques (dropout, GPU implementation).
    *   This falls squarely into the ""DL"" category.

    *   Category: DL.
DL",7.11,,False,2026-08-09T09:15:04,
3,gemma-4-26b-a4b-it,V1,abstract,AI,DL,"*   Objective: Compare the performance of leading AI chatbots (ChatGPT 4.0, Gemini 2.0 Flash, DeepSeek, Perplexity) in answering questions about adrenal incidentalomas.
    *   Methods: Evaluated 35 questions (patient/physician oriented) based on accuracy, quality, hallucination, and readability.
    *   Results: DeepSeek performed best; Perplexity had higher hallucination and lower readability.
    *   Conclusion: AI chatbots are valuable tools for information dissemination.

    *   AI: General AI approaches, symbolic reasoning, expert systems, or work not specific to ML/DL.
    *   ML: Classical machine learning (supervised/unsupervised, trees, SVMs, etc.).
    *   DL: Neural network architectures (CNNs, RNNs, transformers, etc.).
    *   Unclear: Mix of multiple categories, unable to assign one.
    *   None: Not about AI/ML/DL.

    *   The paper is an *evaluation* of existing Large Language Models (LLMs).
    *   LLMs are based on Transformer architectures (Deep Learning).
    *   However, the *contribution* of the paper is not a new architecture (DL), nor a new machine learning algorithm (ML), nor a general AI theory (AI).
    *   The paper is a comparative study/performance assessment of existing tools in a specific medical domain.
    *   Does it propose a new DL model? No.
    *   Does it propose a new ML algorithm? No.
    *   Does it propose a new AI approach? No.
    *   It is an application/evaluation study.

    *   *AI category:* ""general artificial intelligence approaches... or work not specific to ML/DL techniques"". This paper is about evaluating existing LLMs. LLMs are DL. But the paper isn't",8.99,,False,2026-08-09T09:15:14,
4,gemma-4-26b-a4b-it,V1,abstract,DL,DL,"*   Goal: Classify the abstract by its primary technical contribution.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   Context: Laparoscopic donor nephrectomy (LDN) surgery.
    *   Objective: Use a patented proprietary deep learning (DL)-based computer vision (CV) to recognize anatomical structures.
    *   Methodology:
        *   Uses YOLO v11x (a specific deep learning architecture).
        *   Mentions training on annotated images (6828 images).
        *   Mentions specific DL components: segmentation tasks, binary cross-entropy loss, bounding box loss, distribution focal loss.
        *   Mentions metrics: Precision, Recall, F1 Score.
    *   Primary Contribution: The application and adaptation of a specific deep learning model (YOLO v11x) for real-time anatomical structure detection in surgical videos.

    *   AI: General AI, symbolic reasoning, etc. (The paper uses DL, which is a subset of AI, but the contribution is specific to DL).
    *   ML: Classical ML (SVMs, trees, etc.). (The paper uses YOLO, which is a neural network).
    *   DL: Neural network architectures (CNNs, RNNs, transformers, YOLO). (The paper explicitly uses YOLO v11x, a deep learning model, and discusses loss functions specific to deep learning/segmentation).
    *   Unclear: Mix of categories. (While it mentions AI and ML, the core technical method is clearly DL).
    *   None: Not about AI/ML/DL. (Incorrect, it is clearly about DL).

    *   The paper focuses on a ""deep learning (DL)-based computer vision (CV)"" approach using the ""Y",8.81,,False,2026-08-09T09:15:24,
5,gemma-4-26b-a4b-it,V1,abstract,ML,ML,"*   Goal: Classify the abstract by its *primary* technical contribution.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   Topic: Detecting fetal distress using cardiotocography (CTG) signals.
    *   Methodology: Evaluated six experimental scenarios using a UCI CTG dataset.
    *   Models mentioned:
        *   Classification and Regression Trees (CART) - ML
        *   C5 - ML
        *   Random Tree - ML
        *   Chi-squared Automatic Interaction Detection (CHAID) - ML
        *   K-Nearest Neighbor (KNN) - ML
        *   Multilayer Perceptron (MLP) - DL (though often grouped with ML, it's a neural network)
        *   Radial Basis Function Network (RBF) - DL (neural network)
        *   Support Vector Machines (SVM) - ML
    *   Focus: Comparing machine learning-based models, data partitioning strategies, and feature selection.
    *   Primary contribution: Evaluating how different machine learning models and strategies influence classification performance and predictor importance in the context of fetal distress detection.

    *   *AI*: General AI, symbolic reasoning, etc. The paper uses specific ML/DL models.
    *   *ML*: Classical machine learning (supervised/unsupervised, trees, SVMs, clustering, feature engineering). The majority of models listed (CART, C5, Random Tree, CHAID, KNN, SVM) are classical ML.
    *   *DL*: Neural network architectures (CNNs, RNNs, transformers, DRL). While MLP and RBF are mentioned, they are part of a broader comparison where the majority are classical ML. The core focus is on ""machine learning-based models"" and ""feature selection/partitioning",9.04,,False,2026-08-09T09:15:34,
6,gemma-4-26b-a4b-it,V1,abstract,Unclear,ML,"*   Task: Classify academic paper abstracts by primary technical contribution.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   Subject: Forensic Odontology (FO).
    *   Focus: Integration of digital technologies and AI to improve human identification.
    *   Key mentions: ""integration of digital technologies and artificial intelligence (AI)"", ""AI techniques, including deep neural networks and Machine Learning (ML)"", ""Automated image analysis"".
    *   Nature of the paper: It's a *review* paper evaluating advancements in FO through the lens of AI/ML/DL.
    *   Primary contribution: The paper reviews how AI, ML, and DL are applied to Forensic Odontology.

    *   *AI*: General AI approaches, symbolic reasoning, etc.
    *   *ML*: Classical ML (supervised/unsupervised, trees, SVMs, etc.).
    *   *DL*: Neural network architectures (CNNs, RNNs, transformers, etc.).
    *   *Unclear*: Mix of multiple categories, unable to assign individual categories.
    *   *None*: Not about AI/ML/DL.

    *   The abstract mentions ""AI techniques, including deep neural networks and Machine Learning (ML)"".
    *   It discusses the *integration* of these technologies into a specific field (Forensic Odontology).
    *   The paper is a review of the field's advancements.
    *   Does it focus on a *new* ML algorithm? No.
    *   Does it focus on a *new* DL architecture? No.
    *   Does it focus on general AI? It mentions AI as a broad category.
    *   The abstract explicitly lists ""AI techniques, including deep neural networks and Machine Learning (ML)"". This",8.87,,False,2026-08-09T09:15:44,
7,gemma-4-26b-a4b-it,V1,abstract,ML,ML,"*   Abstract content: Discusses the EM (Expectation-Maximization) algorithm, maximum likelihood estimation, unobserved variables, negative free energy, M step, E step, incremental variants, mixture estimation problems, and sparse conditional distributions.
    *   Core topic: The EM algorithm and its variants/properties.

    *   AI: General AI, symbolic reasoning, expert systems. (EM is a statistical method used in ML, not primarily symbolic AI).
    *   ML: Classical machine learning — supervised/unsupervised learning, tree-based methods, SVMs, clustering, feature engineering. (EM is a fundamental algorithm used in unsupervised learning, specifically for clustering and mixture models).
    *   DL: Neural network architectures — CNNs, RNNs, transformers, deep reinforcement learning. (EM is not a neural network architecture, though it can be used in some contexts, its primary identity is classical ML).
    *   Unclear: Mix of multiple categories. (The paper is very clearly about a specific statistical/ML algorithm).
    *   None: Not about AI/ML/DL. (EM is a cornerstone of ML).

    *   The EM algorithm is a cornerstone of classical machine learning (unsupervised learning, mixture models).
    *   It is not a deep learning architecture (DL).
    *   It is not general symbolic AI (AI).

ML.
ML",6.65,,False,2026-08-09T09:15:52,
8,gemma-4-26b-a4b-it,V1,abstract,Unclear,DL,"*   Goal: Classify academic paper abstracts by primary technical contribution.
    *   Categories: AI, ML, DL, Unclear, None.
    *   Constraint: Respond with *only* the category name.

    *   Content: Discusses the concept of intelligence, critiques anthropocentric views, proposes a generic view of intelligence (sensing, rational/non-random, autonomous, learning, self-evaluation).
    *   Scope: Connects intelligence to biological life (unicellular organisms) and technological design.
    *   Mention of AI/DL: Mentions ""current developments in deep learning (DL) artificial intelligence (AI)"" as a context/comparison point (""machine intelligence might be approaching the intelligence of the living..."").
    *   Primary Contribution: The paper is a philosophical/conceptual essay about the definition of intelligence. It is not proposing a new AI algorithm, a new ML model, or a new DL architecture. It is exploring the *concept* of intelligence across biological and machine domains.

    *   AI: ""general artificial intelligence approaches, symbolic reasoning, expert systems, or work not specific to ML/DL techniques"".
    *   ML: ""classical machine learning..."".
    *   DL: ""neural network architectures..."".
    *   Unclear: ""mix of multiple categories... unable to assign individual categories"".
    *   None: ""the paper is not about AI, ML or DL at all — these terms appear only incidentally or as background, and the paper's contribution lies in another field entirely"".

    *   Is the primary contribution a new AI approach? No, it's a philosophical critique/definition.
    *   Is it ML or DL? No, it mentions them as background/context.
    *   Does the contribution lie in another field? Yes, philosophy/biology/conceptual theory.
    *   The abstract says: ""With current",8.92,,False,2026-08-09T09:16:02,
9,gemma-4-26b-a4b-it,V1,abstract,ML,ML,"*   Objective: Develop a prediction model using hybrid ML and XAI for distinguishing orchiectomy vs. detorsion in testicular torsion.
    *   Methods:
        *   Feature selection: Hybrid PSO-GWO algorithm.
        *   Imbalance handling: SVMSMOTE.
        *   Algorithms compared: Four ensemble learning algorithms.
        *   Final model: CatBoost.
        *   Interpretability (XAI): SHAP, LIME, PDP, ICE.
        *   Nomogram: Logistic regression.
        *   Web app: Python Dash.
    *   Results: CatBoost performed best (AUC 0.923). XAI used to interpret features.
    *   Conclusion: CatBoost model with PSO-GWO and XAI achieved high accuracy.

    *   AI: General AI, symbolic reasoning, expert systems. (The paper uses ML/DL specifically).
    *   ML: Classical machine learning (supervised/unsupervised, tree-based, SVMs, clustering, feature engineering).
    *   DL: Neural networks (CNN, RNN, Transformers, DRL).
    *   Unclear: Mix of categories, not enough info.
    *   None: Not about AI/ML/DL.

    *   The core contribution is a prediction model using **CatBoost** (a gradient boosting decision tree algorithm, which is a classical ML/ensemble method) and feature selection/imbalance techniques (PSO-GWO, SVMSMOTE).
    *   CatBoost is a tree-based ensemble method, which falls squarely under ""ML"" (classical machine learning — supervised/unsupervised learning, tree-based methods...).
    *   While XAI is mentioned, it's used to interpret the ML model.
    *   There are no deep neural networks (CNN, RNN, etc.) mentioned as the primary model",8.94,,False,2026-08-09T09:16:12,
