paper_id,model_version,prompt_version,input_source,predicted_label,raw_output,elapsed_sec,error,is_fewshot_example,run_timestamp
0,mistral:7b,V1,abstract,DL,DL,25.79,,False,2026-08-09T10:46:21
1,mistral:7b,V1,abstract,DL,DL,0.36,,False,2026-08-09T10:46:22
2,mistral:7b,V1,abstract,DL,DL,0.45,,False,2026-08-09T10:46:22
3,mistral:7b,V1,abstract,ML,ML,0.6,,False,2026-08-09T10:46:23
4,mistral:7b,V1,abstract,DL,DL,0.71,,False,2026-08-09T10:46:23
5,mistral:7b,V1,abstract,ML,ML,0.58,,False,2026-08-09T10:46:24
6,mistral:7b,V1,abstract,ML,ML,0.43,,False,2026-08-09T10:46:25
7,mistral:7b,V1,abstract,ML,ML,0.3,,False,2026-08-09T10:46:25
8,mistral:7b,V1,abstract,Unclear,Unclear,0.43,,False,2026-08-09T10:46:25
9,mistral:7b,V1,abstract,ML,ML,0.99,,False,2026-08-09T10:46:26
10,mistral:7b,V1,abstract,DL,DL,0.51,,False,2026-08-09T10:46:27
11,mistral:7b,V1,abstract,ML,ML,0.63,,False,2026-08-09T10:46:27
12,mistral:7b,V1,abstract,ML,ML,0.62,,False,2026-08-09T10:46:28
13,mistral:7b,V1,abstract,ML,ML,0.35,,False,2026-08-09T10:46:28
14,mistral:7b,V1,abstract,ML,ML,0.32,,False,2026-08-09T10:46:29
15,mistral:7b,V1,abstract,DL,DL,0.4,,False,2026-08-09T10:46:29
16,mistral:7b,V1,abstract,ML,ML,0.56,,False,2026-08-09T10:46:30
17,mistral:7b,V1,abstract,DL,DL,0.63,,False,2026-08-09T10:46:30
18,mistral:7b,V1,abstract,ML,ML,0.52,,False,2026-08-09T10:46:31
19,mistral:7b,V1,abstract,DL,DL,0.5,,False,2026-08-09T10:46:31
20,mistral:7b,V1,abstract,ML,ML,0.42,,False,2026-08-09T10:46:32
21,mistral:7b,V1,abstract,DL,DL,0.61,,False,2026-08-09T10:46:32
22,mistral:7b,V1,abstract,ML,ML,0.61,,False,2026-08-09T10:46:33
23,mistral:7b,V1,abstract,DL,DL,0.55,,False,2026-08-09T10:46:34
24,mistral:7b,V1,abstract,ML,ML,0.74,,False,2026-08-09T10:46:34
25,mistral:7b,V1,abstract,DL,DL,0.66,,False,2026-08-09T10:46:35
26,mistral:7b,V1,abstract,ML,ML,0.64,,False,2026-08-09T10:46:36
27,mistral:7b,V1,abstract,ML,ML,0.65,,False,2026-08-09T10:46:36
28,mistral:7b,V1,abstract,ML,ML,0.59,,False,2026-08-09T10:46:37
29,mistral:7b,V1,abstract,ML,ML,0.56,,False,2026-08-09T10:46:37
30,mistral:7b,V1,abstract,ML,ML,0.47,,False,2026-08-09T10:46:38
31,mistral:7b,V1,abstract,DL,DL,0.71,,False,2026-08-09T10:46:39
32,mistral:7b,V1,abstract,ML,ML,0.39,,False,2026-08-09T10:46:39
33,mistral:7b,V1,abstract,DL,DL,0.57,,False,2026-08-09T10:46:40
34,mistral:7b,V1,abstract,DL,DL,0.62,,False,2026-08-09T10:46:40
35,mistral:7b,V1,abstract,ML,ML,0.47,,False,2026-08-09T10:46:41
36,mistral:7b,V1,abstract,DL,DL,0.56,,False,2026-08-09T10:46:41
37,mistral:7b,V1,abstract,ML,ML,0.65,,False,2026-08-09T10:46:42
38,mistral:7b,V1,abstract,DL,DL,0.61,,False,2026-08-09T10:46:42
39,mistral:7b,V1,abstract,ML,ML,0.54,,False,2026-08-09T10:46:43
40,mistral:7b,V1,abstract,ML,ML,0.47,,False,2026-08-09T10:46:43
41,mistral:7b,V1,abstract,ML,ML,0.56,,False,2026-08-09T10:46:44
42,mistral:7b,V1,abstract,ML,ML,0.63,,False,2026-08-09T10:46:45
43,mistral:7b,V1,abstract,ML,ML,0.76,,False,2026-08-09T10:46:45
44,mistral:7b,V1,abstract,ML,ML,0.53,,False,2026-08-09T10:46:46
45,mistral:7b,V1,abstract,DL,DL,0.5,,False,2026-08-09T10:46:46
46,mistral:7b,V1,abstract,ML,ML,0.64,,False,2026-08-09T10:46:47
47,mistral:7b,V1,abstract,ML,ML,0.84,,False,2026-08-09T10:46:48
48,mistral:7b,V1,abstract,ML,ML,0.72,,False,2026-08-09T10:46:49
49,mistral:7b,V1,abstract,ML,ML,0.41,,False,2026-08-09T10:46:49
50,mistral:7b,V1,abstract,DL,DL,0.42,,False,2026-08-09T10:46:50
