paper_id,model_version,prompt_version,input_source,predicted_label,raw_output,elapsed_sec,error,is_fewshot_example,run_timestamp
0,llama3.1:8b,V1,abstract,DL,DL,0.89,,False,2026-08-09T18:56:40
1,llama3.1:8b,V1,abstract,AI,AI,0.68,,False,2026-08-09T18:56:41
2,llama3.1:8b,V1,abstract,DL,DL,0.74,,False,2026-08-09T18:56:42
3,llama3.1:8b,V1,abstract,AI,AI,0.94,,False,2026-08-09T18:56:43
4,llama3.1:8b,V1,abstract,DL,DL,1.01,,False,2026-08-09T18:56:44
5,llama3.1:8b,V1,abstract,ML,ML,0.91,,False,2026-08-09T18:56:45
6,llama3.1:8b,V1,abstract,AI,AI,0.81,,False,2026-08-09T18:56:45
7,llama3.1:8b,V1,abstract,AI,AI,0.69,,False,2026-08-09T18:56:46
8,llama3.1:8b,V1,abstract,AI,AI,0.77,,False,2026-08-09T18:56:47
9,llama3.1:8b,V1,abstract,ML,ML,1.07,,False,2026-08-09T18:56:48
10,llama3.1:8b,V1,abstract,ML,ML,1.17,,False,2026-08-09T18:56:49
11,llama3.1:8b,V1,abstract,ML,ML,1.32,,False,2026-08-09T18:56:50
12,llama3.1:8b,V1,abstract,ML,ML,1.38,,False,2026-08-09T18:56:52
13,llama3.1:8b,V1,abstract,ML,ML,0.72,,False,2026-08-09T18:56:53
14,llama3.1:8b,V1,abstract,AI,AI,0.67,,False,2026-08-09T18:56:53
15,llama3.1:8b,V1,abstract,DL,DL,0.83,,False,2026-08-09T18:56:54
16,llama3.1:8b,V1,abstract,ML,ML,0.95,,False,2026-08-09T18:56:55
17,llama3.1:8b,V1,abstract,AI,AI,0.98,,False,2026-08-09T18:56:56
18,llama3.1:8b,V1,abstract,AI,AI,0.85,,False,2026-08-09T18:56:57
19,llama3.1:8b,V1,abstract,AI,AI,0.86,,False,2026-08-09T18:56:58
20,llama3.1:8b,V1,abstract,ML,ML,0.84,,False,2026-08-09T18:56:59
21,llama3.1:8b,V1,abstract,AI,AI,0.96,,False,2026-08-09T18:56:59
22,llama3.1:8b,V1,abstract,,,0.85,,False,2026-08-09T18:57:00
23,llama3.1:8b,V1,abstract,ML,ML,0.81,,False,2026-08-09T18:57:01
24,llama3.1:8b,V1,abstract,ML,ML,1.29,,False,2026-08-09T18:57:02
25,llama3.1:8b,V1,abstract,AI,AI,1.44,,False,2026-08-09T18:57:04
26,llama3.1:8b,V1,abstract,AI,AI,1.38,,False,2026-08-09T18:57:05
27,llama3.1:8b,V1,abstract,ML,ML,0.87,,False,2026-08-09T18:57:06
28,llama3.1:8b,V1,abstract,ML,ML,0.87,,False,2026-08-09T18:57:07
29,llama3.1:8b,V1,abstract,ML,ML,0.83,,False,2026-08-09T18:57:08
30,llama3.1:8b,V1,abstract,AI,AI,0.82,,False,2026-08-09T18:57:09
31,llama3.1:8b,V1,abstract,DL,DL,1.02,,False,2026-08-09T18:57:10
32,llama3.1:8b,V1,abstract,AI,AI,0.77,,False,2026-08-09T18:57:10
33,llama3.1:8b,V1,abstract,AI,AI,0.9,,False,2026-08-09T18:57:11
34,llama3.1:8b,V1,abstract,DL,DL,0.97,,False,2026-08-09T18:57:12
35,llama3.1:8b,V1,abstract,ML,ML,0.83,,False,2026-08-09T18:57:13
36,llama3.1:8b,V1,abstract,ML,ML,0.98,,False,2026-08-09T18:57:14
37,llama3.1:8b,V1,abstract,ML,ML,1.0,,False,2026-08-09T18:57:15
38,llama3.1:8b,V1,abstract,ML,ML,1.34,,False,2026-08-09T18:57:16
39,llama3.1:8b,V1,abstract,AI,AI,1.32,,False,2026-08-09T18:57:18
40,llama3.1:8b,V1,abstract,ML,ML,1.21,,False,2026-08-09T18:57:19
41,llama3.1:8b,V1,abstract,ML,ML,0.89,,False,2026-08-09T18:57:20
42,llama3.1:8b,V1,abstract,ML,ML,0.99,,False,2026-08-09T18:57:21
43,llama3.1:8b,V1,abstract,,,1.14,,False,2026-08-09T18:57:22
44,llama3.1:8b,V1,abstract,ML,ML,0.88,,False,2026-08-09T18:57:23
45,llama3.1:8b,V1,abstract,DL,DL,0.84,,False,2026-08-09T18:57:24
46,llama3.1:8b,V1,abstract,ML,ML,0.93,,False,2026-08-09T18:57:25
47,llama3.1:8b,V1,abstract,,,1.1,,False,2026-08-09T18:57:26
48,llama3.1:8b,V1,abstract,ML,ML,0.93,,False,2026-08-09T18:57:27
49,llama3.1:8b,V1,abstract,ML,ML,0.74,,False,2026-08-09T18:57:27
50,llama3.1:8b,V1,abstract,ML,ML,0.68,,False,2026-08-09T18:57:28
51,llama3.1:8b,V1,abstract,AI,AI,0.92,,False,2026-08-09T18:57:29
52,llama3.1:8b,V1,abstract,ML,ML,1.46,,False,2026-08-09T18:57:31
53,llama3.1:8b,V1,abstract,AI,AI,1.27,,False,2026-08-09T18:57:32
54,llama3.1:8b,V1,abstract,DL,DL,1.24,,False,2026-08-09T18:57:33
55,llama3.1:8b,V1,abstract,AI,AI,0.87,,False,2026-08-09T18:57:34
56,llama3.1:8b,V1,abstract,ML,ML,0.86,,False,2026-08-09T18:57:35
57,llama3.1:8b,V1,abstract,ML,ML,0.83,,False,2026-08-09T18:57:36
